Primary School
Some secondary School
Grade 10 or National (vocational) Certificates level 2
Grade 11 or National (vocational) Certificates level 3
Grade 12 (National Senior Certificate) or National (vocational) Cert. level 4
Higher Certificates and Advanced National (vocational) Cert.
National Diploma and Advanced certificates
Bachelor's degree, Advanced Diplomas, Post Graduate Certificate or B-tech
Honours degree, Post Graduate diploma or Professional Qualifications
Master's degree
Doctor's degree
None
Other
